J,h,magnetization_density
0.857,2.878,0.016396
0.857,2.939,0.016952
0.857,3.000,0.017624
0.918,0.000,0.000916
0.918,0.061,-0.001472
0.918,0.122,-0.001358
0.918,0.184,-0.001120
0.918,0.245,-0.000750
0.918,0.306,0.000798
0.918,0.367,0.001172
0.918,0.429,0.001240
0.918,0.490,0.001536
0.918,0.551,0.001568
0.918,0.612,0.001328
0.918,0.673,0.003676
0.918,0.735,0.003818
0.918,0.796,0.004114
0.918,0.857,0.004286
0.918,0.918,0.004834
0.918,0.980,0.005020
0.918,1.041,0.005060
0.918,1.102,0.005890
0.918,1.163,0.006030
0.918,1.224,0.006632
0.918,1.286,0.006992
0.918,1.347,0.007136
0.918,1.408,0.006466
0.918,1.469,0.006538
0.918,1.531,0.007126
0.918,1.592,0.007050
0.918,1.653,0.007526
0.918,1.714,0.007636
0.918,1.776,0.008226
0.918,1.837,0.008444
0.918,1.898,0.008732
0.918,1.959,0.010960
0.918,2.020,0.011298
0.918,2.082,0.011858
0.918,2.143,0.012254
0.918,2.204,0.012940
0.918,2.265,0.013534
0.918,2.327,0.014006
0.918,2.388,0.013760
0.918,2.449,0.014138
0.918,2.510,0.014524
0.918,2.571,0.015182
0.918,2.633,0.015876
0.918,2.694,0.014780
0.918,2.755,0.015332
0.918,2.816,0.015794
0.918,2.878,0.016188
0.918,2.939,0.017522
0.918,3.000,0.017718
0.980,0.000,-0.000384
0.980,0.061,0.000084
0.980,0.122,0.000276
0.980,0.184,-0.000246
0.980,0.245,0.000116
0.980,0.306,0.000376
0.980,0.367,0.000602
0.980,0.429,0.000990
0.980,0.490,0.001202
0.980,0.551,0.001692
0.980,0.612,0.001904
0.980,0.673,0.002212
0.980,0.735,0.002810
0.980,0.796,0.003394
0.980,0.857,0.003620
0.980,0.918,0.003678
0.980,0.980,0.004320
0.980,1.041,0.004678
0.980,1.102,0.005018
0.980,1.163,0.006900
0.980,1.224,0.007054
0.980,1.286,0.007460
0.980,1.347,0.007798
0.980,1.408,0.008192
0.980,1.469,0.006052
0.980,1.531,0.006558
0.980,1.592,0.006814
0.980,1.653,0.007408
0.980,1.714,0.007512
0.980,1.776,0.008036
0.980,1.837,0.008658
0.980,1.898,0.011646
0.980,1.959,0.011948
0.980,2.020,0.012450
0.980,2.082,0.012662
0.980,2.143,0.012892
0.980,2.204,0.013410
0.980,2.265,0.013684
0.980,2.327,0.014106
0.980,2.388,0.014632
0.980,2.449,0.015192
0.980,2.510,0.015622
0.980,2.571,0.016238
0.980,2.633,0.016656
0.980,2.694,0.017072
0.980,2.755,0.018748
0.980,2.816,0.018942
0.980,2.878,0.019198
0.980,2.939,0.019640
0.980,3.000,0.020046
1.041,0.000,0.001342
1.041,0.061,0.001604
1.041,0.122,0.000380
1.041,0.184,0.000860
1.041,0.245,0.001676
1.041,0.306,0.001874
1.041,0.367,0.002316
1.041,0.429,0.002922
1.041,0.490,0.004314
1.041,0.551,0.004368
1.041,0.612,0.004858
1.041,0.673,0.005054
1.041,0.735,0.004160
1.041,0.796,0.004524
1.041,0.857,0.004680
1.041,0.918,0.004782
1.041,0.980,0.004796
1.041,1.041,0.005026
1.041,1.102,0.005582
1.041,1.163,0.006002
1.041,1.224,0.006306
1.041,1.286,0.006620
1.041,1.347,0.007134
1.041,1.408,0.007518
1.041,1.469,0.007872
1.041,1.531,0.008536
1.041,1.592,0.008816
1.041,1.653,0.009122
1.041,1.714,0.009724
1.041,1.776,0.010272
1.041,1.837,0.010286
1.041,1.898,0.010926
1.041,1.959,0.011378
1.041,2.020,0.011876
1.041,2.082,0.012528
1.041,2.143,0.012678
1.041,2.204,0.012910
1.041,2.265,0.014410
1.041,2.327,0.015146
1.041,2.388,0.015492
1.041,2.449,0.016154
1.041,2.510,0.016992
1.041,2.571,0.017584
1.041,2.633,0.017950
1.041,2.694,0.017810
1.041,2.755,0.018802
1.041,2.816,0.019200
1.041,2.878,0.019656
1.041,2.939,0.020400
1.041,3.000,0.021030
1.102,0.000,0.000272
1.102,0.061,0.000120
1.102,0.122,0.000274
1.102,0.184,0.000658
1.102,0.245,0.000738
1.102,0.306,0.000620
1.102,0.367,0.001202
1.102,0.429,0.001718
1.102,0.490,0.002122
1.102,0.551,0.001654
1.102,0.612,0.001882
1.102,0.673,0.002246
1.102,0.735,0.002614
1.102,0.796,0.003174
1.102,0.857,0.003572
1.102,0.918,0.004740
1.102,0.980,0.005146
1.102,1.041,0.005522
1.102,1.102,0.005566
1.102,1.163,0.005784
1.102,1.224,0.005776
1.102,1.286,0.006266
1.102,1.347,0.008888
1.102,1.408,0.009264
1.102,1.469,0.009494
1.102,1.531,0.010076
1.102,1.592,0.010736
1.102,1.653,0.011402
1.102,1.714,0.011858
1.102,1.776,0.012654
1.102,1.837,0.013116
1.102,1.898,0.013408
1.102,1.959,0.013758
1.102,2.020,0.014098
1.102,2.082,0.014278
1.102,2.143,0.014680
1.102,2.204,0.013842
1.102,2.265,0.014070
1.102,2.327,0.014742
1.102,2.388,0.015424
1.102,2.449,0.016108
1.102,2.510,0.016606
1.102,2.571,0.017462
1.102,2.633,0.018534
1.102,2.694,0.019072
1.102,2.755,0.019544
1.102,2.816,0.020042
1.102,2.878,0.020456
1.102,2.939,0.019728
1.102,3.000,0.020242
1.163,0.000,-0.000088
1.163,0.061,-0.000038
1.163,0.122,-0.000708
1.163,0.184,0.000086
1.163,0.245,0.000150
1.163,0.306,0.000410
1.163,0.367,0.000718
1.163,0.429,0.001480
1.163,0.490,0.002120
1.163,0.551,0.002416
1.163,0.612,0.003200
1.163,0.673,0.003688
1.163,0.735,0.004246
1.163,0.796,0.004758
1.163,0.857,0.004854
1.163,0.918,0.005020
1.163,0.980,0.005430
1.163,1.041,0.005862
1.163,1.102,0.006334
1.163,1.163,0.006732
1.163,1.224,0.007184
1.163,1.286,0.007698
1.163,1.347,0.008064
1.163,1.408,0.007894
1.163,1.469,0.008418
1.163,1.531,0.008868
1.163,1.592,0.008916
1.163,1.653,0.009666
1.163,1.714,0.012398
1.163,1.776,0.012878
1.163,1.837,0.012736
1.163,1.898,0.013118
1.163,1.959,0.013782
1.163,2.020,0.014356
1.163,2.082,0.014886
1.163,2.143,0.013318
1.163,2.204,0.013716
1.163,2.265,0.014062
1.163,2.327,0.014728
1.163,2.388,0.015510
1.163,2.449,0.016000
1.163,2.510,0.017342
1.163,2.571,0.017906
1.163,2.633,0.018492
1.163,2.694,0.019046
1.163,2.755,0.018792
1.163,2.816,0.019448
1.163,2.878,0.019920
1.163,2.939,0.020560
1.163,3.000,0.023184
1.224,0.000,0.000544
1.224,0.061,0.000998
1.224,0.122,0.001544
1.224,0.184,0.001990
1.224,0.245,0.002224
1.224,0.306,0.002726
1.224,0.367,0.002482
1.224,0.429,0.003162
1.224,0.490,0.003718
1.224,0.551,0.004186
1.224,0.612,0.004650
1.224,0.673,0.005198
1.224,0.735,0.003964
1.224,0.796,0.004562
1.224,0.857,0.005064
1.224,0.918,0.005288
1.224,0.980,0.006346
1.224,1.041,0.006782
1.224,1.102,0.007402
1.224,1.163,0.007944
1.224,1.224,0.007118
1.224,1.286,0.007546
1.224,1.347,0.007986
1.224,1.408,0.008432
1.224,1.469,0.008856
1.224,1.531,0.009186
1.224,1.592,0.009672
1.224,1.653,0.011322
1.224,1.714,0.011852
1.224,1.776,0.012116
1.224,1.837,0.012428
1.224,1.898,0.012820
1.224,1.959,0.013070
1.224,2.020,0.013820
1.224,2.082,0.014930
1.224,2.143,0.015344
1.224,2.204,0.015710
1.224,2.265,0.016256
1.224,2.327,0.017774
1.224,2.388,0.017792
1.224,2.449,0.017922
1.224,2.510,0.018516
1.224,2.571,0.018972
1.224,2.633,0.019904
1.224,2.694,0.020922
1.224,2.755,0.021146
1.224,2.816,0.021832
1.224,2.878,0.022292
1.224,2.939,0.021530
1.224,3.000,0.022190
1.286,0.000,-0.000024
1.286,0.061,0.000408
1.286,0.122,0.001154
1.286,0.184,0.001438
1.286,0.245,0.001802
1.286,0.306,0.001282
1.286,0.367,0.001644
1.286,0.429,0.002016
1.286,0.490,0.002610
1.286,0.551,0.004418
1.286,0.612,0.004768
1.286,0.673,0.005052
1.286,0.735,0.005318
1.286,0.796,0.002816
1.286,0.857,0.003230
1.286,0.918,0.003418
1.286,0.980,0.003988
